school_code,school_name,category,management,edu_district,sub_district,local_body,classes_approved,students_total,students_lp,students_up,teaching_staff_total,teaching_staff_lp,teaching_staff_up,teaching_staff_lp_up_shared,teaching_staff_hs,teaching_staff_unclassified,non_teaching_total,reported_total_employees,staff_data_status,total_reconciles,has_hss,has_vhse,source_url,fetched_at
18234,GUPS Kadungallur,UPS,Government,Malappuram,Kizhisseri,Malappuram (P),1 - 7,432,206,226,23,11,6,6,0,0,1,24,ok,true,false,false,https://sametham.kite.kerala.gov.in/18234,2026-08-14T10:05:04.156905+00:00
18235,GMUPS Kizhisseri,UPS,Government,Malappuram,Kizhisseri,Malappuram (P),1 - 7,522,276,246,24,11,6,5,2,0,2,26,ok,true,false,false,https://sametham.kite.kerala.gov.in/18235,2026-08-14T10:05:06.171591+00:00
18301,G.M.L.P.S. Akkode,LPS,Government,Malappuram,Kondotty,Malappuram (P),1 - 4,81,81,0,4,2,0,1,1,0,1,5,ok,true,false,false,https://sametham.kite.kerala.gov.in/18301,2026-08-14T10:05:08.155601+00:00
18302,G.M.L.P.S. Alparamba,LPS,Government,Malappuram,Kondotty,Malappuram (P),1 - 4,141,141,0,8,6,0,2,0,0,1,9,ok,true,false,false,https://sametham.kite.kerala.gov.in/18302,2026-08-14T10:05:10.146365+00:00
18305,G.L.P.S. Arimbra Melmuri,LPS,Government,Malappuram,Kondotty,Malappuram (P),1 - 4,222,222,0,11,8,0,3,0,0,1,12,ok,true,false,false,https://sametham.kite.kerala.gov.in/18305,2026-08-14T10:05:12.152858+00:00
18311,G.L.P.S. Elamaram,LPS,Government,Malappuram,Kondotty,Malappuram (P),1 - 4,59,59,0,5,3,0,2,0,0,1,6,ok,true,false,false,https://sametham.kite.kerala.gov.in/18311,2026-08-14T10:05:14.150813+00:00
18315,G.M.L.P.S. Kanhiraparamba,LPS,Government,Malappuram,Kondotty,Kondotty (M),1 - 4,222,222,0,11,8,0,3,0,0,0,11,ok,true,false,false,https://sametham.kite.kerala.gov.in/18315,2026-08-14T10:05:16.156734+00:00
18316,G.L.P.S. Karad,LPS,Government,Malappuram,Kondotty,Malappuram (P),1 - 4,267,267,0,11,9,0,1,1,0,0,11,ok,true,false,false,https://sametham.kite.kerala.gov.in/18316,2026-08-14T10:05:18.159057+00:00
18318,G.M.L.P.S. Karippur,LPS,Government,Malappuram,Kondotty,Malappuram (P),1 - 4,261,261,0,13,10,0,3,0,0,1,14,ok,true,false,false,https://sametham.kite.kerala.gov.in/18318,2026-08-14T10:05:20.150591+00:00
18322,G.M.L.P.S. Kondotty Chungam,LPS,Government,Malappuram,Kondotty,Kondotty (M),1 - 4,72,72,0,5,3,0,2,0,0,1,6,ok,true,false,false,https://sametham.kite.kerala.gov.in/18322,2026-08-14T10:05:22.149457+00:00
18323,G.M.L.P.S. Kondotty,LPS,Government,Malappuram,Kondotty,Kondotty (M),1 - 4,86,86,0,6,4,0,2,0,0,0,6,ok,true,false,false,https://sametham.kite.kerala.gov.in/18323,2026-08-14T10:05:24.156722+00:00
18326,G.M.L.P.S. Kumminiparamba,LPS,Government,Malappuram,Kondotty,Malappuram (P),1 - 4,170,170,0,9,6,0,2,1,0,1,10,ok,true,false,false,https://sametham.kite.kerala.gov.in/18326,2026-08-14T10:05:26.154672+00:00
18329,G.M.L.P.S. Mapprom,LPS,Government,Malappuram,Kondotty,Malappuram (P),1 - 4,84,84,0,5,2,0,2,1,0,1,6,ok,true,false,false,https://sametham.kite.kerala.gov.in/18329,2026-08-14T10:05:28.158470+00:00
18330,G.M.L.P.S. Melangadi,LPS,Government,Malappuram,Kondotty,Kondotty (M),1 - 4,344,344,0,16,12,0,2,2,0,1,17,ok,true,false,false,https://sametham.kite.kerala.gov.in/18330,2026-08-14T10:05:30.192085+00:00
18331,G.L.P.S. Morayur,LPS,Government,Malappuram,Kondotty,Malappuram (P),1 - 4,205,205,0,11,7,0,3,1,0,0,11,ok,true,false,false,https://sametham.kite.kerala.gov.in/18331,2026-08-14T10:05:32.151718+00:00
18332,G.M.L.P.S. Morayur,LPS,Government,Malappuram,Kondotty,Malappuram (P),1 - 4,269,269,0,12,8,0,3,1,0,0,12,ok,true,false,false,https://sametham.kite.kerala.gov.in/18332,2026-08-14T10:05:34.158102+00:00
18335,G.L.P.S. Mundumuzhi,LPS,Government,Malappuram,Kondotty,Malappuram (P),1 - 4,113,113,0,5,5,0,0,0,0,0,5,ok,true,false,false,https://sametham.kite.kerala.gov.in/18335,2026-08-14T10:05:36.161715+00:00
18338,G.L.P.S. Nediyiruppu,UPS,Government,Malappuram,Kondotty,Kondotty (M),1 - 5,135,103,32,8,6,0,2,0,0,0,8,ok,true,false,false,https://sametham.kite.kerala.gov.in/18338,2026-08-14T10:05:38.183405+00:00
18339,G.M.L.P.S. Nediyiruppu,LPS,Government,Malappuram,Kondotty,Kondotty (M),1 - 4,50,50,0,4,3,0,1,0,0,1,5,ok,true,false,false,https://sametham.kite.kerala.gov.in/18339,2026-08-14T10:05:40.169159+00:00
18340,G.W.U.P.S. Nediyiruppu,UPS,Government,Malappuram,Kondotty,Kondotty (M),1 - 7,158,89,69,9,5,2,2,0,0,2,11,ok,true,false,false,https://sametham.kite.kerala.gov.in/18340,2026-08-14T10:05:42.176389+00:00
