school_code,school_name,category,sub_district,students_lp,students_up,divisions_lp,divisions_up,divisions_total,staff_lp,staff_up,staff_lp_up_shared,staff_counted,imbalance,verdict,fixation_2026_27
18335,G.L.P.S. Mundumuzhi,LPS,Kondotty,113,0,6,0,6,5,0,0,5,-1,shortfall,
18352,G.L.P.S. Puthucode,LPS,Kondotty,208,0,9,0,9,7,0,1,8,-1,shortfall,
18362,G.L.P.S. Vettathur,LPS,Kondotty,219,0,10,0,10,7,0,2,9,-1,shortfall,
18434,G.L.P.S. Choonur,LPS,Malappuram,166,0,8,0,8,6,0,1,7,-1,shortfall,
18437,G.L.P.S. Malappruam,LPS,Malappuram,261,0,11,0,11,8,0,2,10,-1,shortfall,
18448,G.M.L.P.S. Irumbuzhi,LPS,Malappuram,256,0,12,0,12,9,0,2,11,-1,shortfall,
18449,G.M.L.P.S. Kolmanna,LPS,Malappuram,54,0,4,0,4,3,0,0,3,-1,shortfall,
18461,G.M.L.P.S. Pookottur,UPS,Malappuram,61,13,4,1,5,4,0,0,4,-1,shortfall,
18507,G.L.P.S. Chembakuth,LPS,Manjeri,53,0,4,0,4,2,0,1,3,-1,shortfall,
18531,G.M.L.P.S. Manjeri East,LPS,Manjeri,61,0,4,0,4,3,0,0,3,-1,shortfall,
18542,G M L P S Pandallur,LPS,Manjeri,234,0,9,0,9,7,0,1,8,-1,shortfall,
18563,G.L.P.S. Vettikkattiri,LPS,Manjeri,107,0,6,0,6,4,0,1,5,-1,shortfall,
18592,GMLP School ANAKKAYAM,LPS,Manjeri,57,0,4,0,4,2,0,1,3,-1,shortfall,
18612,G L P S Karkidakam,LPS,Mankada,130,0,6,0,6,3,0,2,5,-1,shortfall,received teachers
18634,G L P S Meenarkuzhi,LPS,Mankada,173,0,8,0,8,5,0,2,7,-1,shortfall,
18637,G L P S Pothukundu,LPS,Mankada,106,0,6,0,6,3,0,2,5,-1,shortfall,received teachers
18640,G L P S Puthanangadi,LPS,Mankada,129,0,7,0,7,4,0,2,6,-1,shortfall,received teachers
18715,GMLPS Kakkooth,LPS,Perinthalmanna,49,0,4,0,4,2,0,1,3,-1,shortfall,
18731,GLPS Perinthalmanna East,LPS,Perinthalmanna,171,0,8,0,8,5,0,2,7,-1,shortfall,
19054,G. H. S. S. Maranchery,HSS,Ponnani,47,316,4,11,15,4,7,3,14,-1,shortfall,received teachers
19201,G. L. P. S. Alankode,LPS,Edappal,44,0,4,0,4,1,0,2,3,-1,shortfall,
19205,G. L. P. S. Chiyanur,LPS,Edappal,83,0,4,0,4,2,0,1,3,-1,shortfall,
19218,G. L. P. S. Nariparamba,LPS,Edappal,34,0,4,0,4,3,0,0,3,-1,shortfall,received teachers
19220,G. M. L. P. S. Pallikara,LPS,Edappal,35,0,4,0,4,2,0,1,3,-1,shortfall,
19227,G. L. P. S. Thuyyam,LPS,Edappal,55,0,4,0,4,2,0,1,3,-1,shortfall,
19235,G. J. B. S. Vattamkulam,LPS,Edappal,57,0,4,0,4,2,0,1,3,-1,shortfall,
19312,G. W. L. P. S. Irimbliyam,LPS,Kuttippuram,109,0,6,0,6,3,0,2,5,-1,shortfall,
