school_code,school_name,category,sub_district,lp_up_students,lp_up_teachers,lp_up_ptr,review_flag
19514,G. L. P. S. Veliyancode New,LPS,Ponnani,183,10,18.3,
18138,G.H.S.S Chullikkode,HSS,Kizhisseri,292,16,18.2,
19539,G. U. P. S. Cheruvayikkara,UPS,Ponnani,146,8,18.2,
19626,G. M. L. P. S. Parapputhadam,LPS,Tanur,73,4,18.2,
48439,Poolappadam GLPS,LPS,Nilambur,146,8,18.2,
18565,G.L.P.S. Cherankuth,UPS,Manjeri,91,5,18.2,
19727,G. M. L. P. S. SouthPallar,LPS,Tirur,91,5,18.2,
18228,GLPS Vilayil,LPS,Kizhisseri,72,4,18.0,
18449,G.M.L.P.S. Kolmanna,LPS,Malappuram,54,3,18.0,
18566,K.M Musthafa Memorial G.L.P.S. Mundengara,UPS,Manjeri,108,6,18.0,
19251,G. U. P. S. Othalur,UPS,Edappal,180,10,18.0,
18517,G.M.L.P.S. Karakunnu,LPS,Manjeri,179,10,17.9,
18346,G.L.P.S. Panikkarapuraya,LPS,Kondotty,107,6,17.8,
19401,G. L. P. S. Anappadi,LPS,Parappanangadi,178,10,17.8,
19430,G. L .P. S. Melodiparamba,LPS,Parappanangadi,71,4,17.8,
19331,G. L. P. S. Kuttippuram North,LPS,Kuttippuram,124,7,17.7,
18507,G.L.P.S. Chembakuth,LPS,Manjeri,53,3,17.7,
19622,G. L. P. S. Nannambra,LPS,Tanur,106,6,17.7,
18302,G.M.L.P.S. Alparamba,LPS,Kondotty,141,8,17.6,
48135,GHS Kappilkarad,HS,Wandoor,229,13,17.6,
18011,G H S S Kuzhimanna,HSS,Kizhisseri,88,5,17.6,
19637,G. M. L. P. S. Rayirimangalam,LPS,Tanur,88,5,17.6,
48512,Kallamoola GLPS,LPS,Wandoor,176,10,17.6,
18340,G.W.U.P.S. Nediyiruppu,UPS,Kondotty,158,9,17.6,
18705,GLPS Arakkuparamba,LPS,Perinthalmanna,158,9,17.6,
18222,GLPS Pulpatta,LPS,Kizhisseri,140,8,17.5,
48517,Kooripoyil GLPS,LPS,Wandoor,140,8,17.5,
19809,GMLPS Iringallur,LPS,Vengara,174,10,17.4,
48318,G.M.L.P.S. Pallikuth,LPS,Melattur,139,8,17.4,
18540,G.M.L.P.S. Odompatta,LPS,Manjeri,155,9,17.2,
18439,G.L.P.S. Melmuri South,LPS,Malappuram,86,5,17.2,
19020,Govt.V. H. S. S for Girls. Tirur,VHSE,Tirur,103,6,17.2,
19541,G. F. U. P. S. Palapetty,UPS,Ponnani,274,16,17.1,
48406,Cholamunda GLPS,LPS,Nilambur,188,11,17.1,
18218,GLPS Parapurathparamba,LPS,Kizhisseri,102,6,17.0,
19231,Uliyathu Aboobacker Memmorial G. L. P. S. Vadakkummuri,LPS,Edappal,68,4,17.0,
19607,G. M. L. P. S. Edakadappuram,LPS,Tanur,153,9,17.0,
19619,G. M. L. P. S. Manalipuzha,LPS,Tanur,68,4,17.0,
18338,G.L.P.S. Nediyiruppu,UPS,Kondotty,135,8,16.9,
18508,G.L.P.S. Cherukulam,LPS,Manjeri,185,11,16.8,
48035,G M V H S S Nilambur,VHSE,Nilambur,84,5,16.8,
19810,GLPS Kannamangalam,LPS,Vengara,67,4,16.8,
48401,Amarambalam GLPS,LPS,Nilambur,134,8,16.8,
19818,GLPS Kodalikundu,LPS,Vengara,117,7,16.7,
19629,G. L. P. S. Rayirimangalam,LPS,Tanur,100,6,16.7,
18553,G.L.P.S. Ramankulam,LPS,Manjeri,166,10,16.6,
19707,G. M. L. P. S. Edakkulam,LPS,Tirur,116,7,16.6,
18506,G.L.P.S. Chalippadam,LPS,Manjeri,99,6,16.5,
19736,G. L. P. S. Thrikandiyur,LPS,Tirur,99,6,16.5,
48522,Pedayenthal GLPS,LPS,Wandoor,66,4,16.5,
19732,G. L. P. S. Thekkummuri,LPS,Tirur,115,7,16.4,
48328,G.L.P.S. Thelakkad,LPS,Melattur,82,5,16.4,
18715,GMLPS Kakkooth,LPS,Perinthalmanna,49,3,16.3,
19536,G. F. L. P. S. Veliyancode,UPS,Ponnani,163,10,16.3,
48437,Perumbathur GLPS,LPS,Nilambur,65,4,16.2,
18515,G.M.L.P.S. Eranhikode,LPS,Manjeri,162,10,16.2,
48238,GUPS Chundathumpoyil,UPS,Areacode,113,7,16.1,
18097,G H S Aliparamba,HSS,Perinthalmanna,209,13,16.1,
19206,G. L. P. S. Edappal,LPS,Edappal,80,5,16.0,
19332,G. M. L. P. S. Manhachola,LPS,Kuttippuram,64,4,16.0,
19721,G. L. P. S. Mangattiri,LPS,Tirur,48,3,16.0,
18575,G.U.P.S. Manjeri,UPS,Manjeri,302,19,15.9,
19321,G. L. P. S. Kattilangadi,LPS,Kuttippuram,143,9,15.9,
19686,K. P. N. M. U. P. S. Tanur,UPS,Tanur,127,8,15.9,
18651,G L P S Vallikkapatta,LPS,Mankada,79,5,15.8,
48436,Payampadam GLPS,LPS,Nilambur,79,5,15.8,
48309,G.L.P.S. Kara,LPS,Melattur,142,9,15.8,
19516,G. L. P. S. Veliyancode Gramam,LPS,Ponnani,47,3,15.7,
19723,G. M. L. P. S. Muttannur,LPS,Tirur,141,9,15.7,
19435,G. L. P. S. Vallikunnu,UPS,Parappanangadi,78,5,15.6,
19764,G. L. P. S. Annara,UPS,Tirur,93,6,15.5,
19341,G. M. L. P. S. Parappuram,LPS,Kuttippuram,77,5,15.4,
19408,G. F. L. P. S. Parappanangadi,LPS,Parappanangadi,154,10,15.4,
19350,G. M. L. P. S. Valancheri,LPS,Kuttippuram,46,3,15.3,
19432,G. M. L. P. S. Parappanangadi,LPS,Parappanangadi,153,10,15.3,
48450,Vendekkumpotty GLPS,LPS,Nilambur,76,5,15.2,
48217,GLPS Kuthuparamba,LPS,Areacode,136,9,15.1,
18451,G.M.L.P.S. Melmuri Central,LPS,Malappuram,75,5,15.0,
19644,G. M. L. P. S. Thiruthy,LPS,Tanur,60,4,15.0,
48426,GMLPS Mukkatta,LPS,Nilambur,75,5,15.0,
19201,G. L. P. S. Alankode,LPS,Edappal,44,3,14.7,
19636,A. M. L. P. S. Kormanthala,LPS,Tanur,132,9,14.7,
19765,G. W. L. P. S. Purathur,UPS,Tirur,73,5,14.6,
18521,G.L.P.S. Karuvambrum West,LPS,Manjeri,58,4,14.5,
18322,G.M.L.P.S. Kondotty Chungam,LPS,Kondotty,72,5,14.4,
19642,G. M. L. P. S. Thalakadathur,LPS,Tanur,72,5,14.4,
48215,GLPS Kuniyil,LPS,Areacode,72,5,14.4,
18323,G.M.L.P.S. Kondotty,LPS,Kondotty,86,6,14.3,
18538,G.L.P.S. Narukara,LPS,Manjeri,71,5,14.2,
19713,G. M. L. P. S. Kuttayi North,LPS,Tirur,42,3,14.0,
48423,GLPS Meppadam,LPS,Nilambur,111,8,13.9,
18446,G.M.L.P.S. Athanikkal,LPS,Malappuram,69,5,13.8,
19609,G. M. L. P. S. Iringavoor,LPS,Tanur,69,5,13.8,
48315,G.L.P.S. Melkulangara,LPS,Melattur,69,5,13.8,
19734,G. L. P. S. Thiruthi,LPS,Tirur,41,3,13.7,
48524,Pattanamkundu GLPS,LPS,Wandoor,82,6,13.7,
48212,GMLPS Kizhuparamba,LPS,Areacode,54,4,13.5,
18554,G.L.P.S. Theyyampadikuth,LPS,Manjeri,93,7,13.3,
19315,G. M. L. P. S. Kalpakancheri,LPS,Kuttippuram,53,4,13.2,
19535,G. F. L. P. S. Puthuponnani,UPS,Ponnani,65,5,13.0,
48221,G L P S Pathanapuram,LPS,Areacode,65,5,13.0,
18360,G.M.L.P.S. Vazhayur,LPS,Kondotty,77,6,12.8,
48429,Naduvakkad GLPS,LPS,Nilambur,64,5,12.8,
48323,G.L.P.S. Pezhumthara,LPS,Melattur,51,4,12.8,
18339,G.M.L.P.S. Nediyiruppu,LPS,Kondotty,50,4,12.5,
19704,G. L. P. S. B. P. Angadi,LPS,Tirur,121,10,12.1,
18533,G.M.L.P.S. Manjeri,LPS,Manjeri,48,4,12.0,
18311,G.L.P.S. Elamaram,LPS,Kondotty,59,5,11.8,
19220,G. M. L. P. S. Pallikara,LPS,Edappal,35,3,11.7,
19218,G. L. P. S. Nariparamba,LPS,Edappal,34,3,11.3,
19719,G. M. L. P. S. Mangalam,LPS,Tirur,56,5,11.2,
19740,G. M. L. P. S. Vettam Pallippuram,LPS,Tirur,56,5,11.2,
19210,Padikkal KalyaniAMMA Memorial G L P S Kallurma,LPS,Edappal,55,5,11.0,
48202,GMLPS Areacode West,LPS,Areacode,44,4,11.0,
48319,G.L.P.S. Pathirikode,LPS,Melattur,55,5,11.0,
18444,G.L.P.S. Vadakkemanna,LPS,Malappuram,54,5,10.8,
19329,G. L. P. S. Kuttippuram,LPS,Kuttippuram,21,2,10.5,
19343,G. M. L. P. S. Paravannur,LPS,Kuttippuram,41,4,10.2,
19506,G. F. L. P. S. Ponnani,LPS,Ponnani,41,4,10.2,
18452,G.M.L.P.S. Ponmala,LPS,Malappuram,51,5,10.2,
48276,G L P S West Pathanapuram,LPS,Areacode,61,6,10.2,
18732,GLPS Perinthalmanna West,LPS,Perinthalmanna,50,5,10.0,
48525,Payyakode GLPS,LPS,Wandoor,40,4,10.0,
19223,G. L. P. S. Polpakkara,LPS,Edappal,39,4,9.8,
18636,G L P S Pooppalam Valambur,LPS,Mankada,47,5,9.4,
19333,G. L. P. S. Maniyankad,LPS,Kuttippuram,47,5,9.4,
19327,G. L. P. S. Kulakkad,LPS,Kuttippuram,44,5,8.8,
19710,G. M. L. P. S. Kaithakkara,LPS,Tirur,35,4,8.8,
19243,Govt L.P.School Kololomba,UPS,Edappal,43,5,8.6,
18534,G.M.L.P.S. Manjeri South,LPS,Manjeri,34,4,8.5,
19507,G. M. L. P. S. Ponnani Town,LPS,Ponnani,34,4,8.5,
48329,G.L.P.S. Valayapuram,LPS,Melattur,34,4,8.5,
19646,G. M. L. P. S. Valavannur,LPS,Tanur,42,5,8.4,
48446,Valanthode GTLPS,LPS,Nilambur,25,3,8.3,
19730,G. L. P. S. Thekkankuttur,LPS,Tirur,38,5,7.6,
19533,G. L. P. S. Kanhiramukku,UPS,Ponnani,30,4,7.5,
48245,G U P S Odakkayam,UPS,Areacode,45,6,7.5,
19233,G. M. L. P. S. Vadakkummuri,LPS,Edappal,25,4,6.2,
48510,Chokkad Girijan Colony GLPS,LPS,Wandoor,10,2,5.0,
48430,Nedungayam GTLPS,LPS,Nilambur,5,2,2.5,
