school_code,school_name,category,sub_district,lp_up_students,lp_up_teachers,lp_up_ptr,review_flag
19667,G. U. P. S. Karingappara,UPS,Tanur,834,32,26.1,
18352,G.L.P.S. Puthucode,LPS,Kondotty,208,8,26.0,
18612,G L P S Karkidakam,LPS,Mankada,130,5,26.0,
48551,Chokkad GMUPS,UPS,Wandoor,416,16,26.0,
48559,Pazhayakadakkal GUPS,UPS,Wandoor,650,25,26.0,
19054,G. H. S. S. Maranchery,HSS,Ponnani,363,14,25.9,
48038,G H S S Pullangode,HSS,Wandoor,285,11,25.9,
18657,G L P S Padinhattummuri,UPS,Mankada,438,17,25.8,
48140,GHS Vadasseri,HS,Areacode,644,25,25.8,
19365,G. U. P. S. Randathani,UPS,Kuttippuram,412,16,25.8,
19613,G. L. P. S. Kanmanam,LPS,Tanur,103,4,25.8,
48243,GUPS Moorkanad,UPS,Areacode,901,35,25.7,
18219,GLPS Parathakkad,LPS,Kizhisseri,180,7,25.7,
19661,G. M. L. P. S. Kuttippala,UPS,Tanur,257,10,25.7,
48138,GHS Munderi,HS,Nilambur,410,16,25.6,
18739,GMLPS Thootha,LPS,Perinthalmanna,153,6,25.5,
48001,G H S S Areacode,HSS,Areacode,255,10,25.5,
48219,GLPS Palappatta,LPS,Areacode,102,4,25.5,
18443,G.L.P.S. Pookottur Old,LPS,Malappuram,356,14,25.4,
18075,G H S S Kunnakkavu,HSS,Perinthalmanna,381,15,25.4,
19864,GMUPS Kannamangalam,UPS,Vengara,507,20,25.4,
19537,G. L. P. S. Velleri,UPS,Ponnani,76,3,25.3,
19826,GLPS Nottappuram,LPS,Vengara,228,9,25.3,
48326,M.P.G.L.P.S. Puthanpally,LPS,Melattur,76,3,25.3,
19443,G. U. P. S. Moonniyur,UPS,Parappanangadi,430,17,25.3,
48527,Pookkulam GLPS,LPS,Wandoor,202,8,25.2,
19662,G. L. P. S. Ozhur,UPS,Tanur,327,13,25.2,
48144,GHS Marutha,HS,Nilambur,704,28,25.1,
19671,G H S Meenadathur,HS,Tanur,930,37,25.1,
18653,G L P S Vellila,LPS,Mankada,326,13,25.1,
19544,G. F. U. P. S. Kadavanad,UPS,Ponnani,526,21,25.0,
19867,GHS Kolappuram,HS,Vengara,601,24,25.0,
19414,G. L. P. S. Thirurangadi,LPS,Parappanangadi,325,13,25.0,
18220,GLPS Ponnad,LPS,Kizhisseri,324,13,24.9,
19863,G U P S Cholakundu,UPS,Vengara,598,24,24.9,
48549,G.H.S Anchachavadi,HS,Wandoor,895,36,24.9,
19820,G L P S Othukkungal,LPS,Vengara,223,9,24.8,
18528,G.M.L.P.S. Mangalasseri,LPS,Manjeri,322,13,24.8,
18588,G.M.U.P.S. Vettikattiri,UPS,Manjeri,198,8,24.8,
18634,G L P S Meenarkuzhi,LPS,Mankada,173,7,24.7,
48411,Karimbuzha GMLPS,LPS,Nilambur,173,7,24.7,
19339,G. L. P. S. Naduvattam,LPS,Kuttippuram,222,9,24.7,
19249,G. U. P. S. Kololamba,UPS,Edappal,345,14,24.6,
48414,GLPS Kattumunda East,LPS,Nilambur,345,14,24.6,
48139,G.H.S. Kappu,HS,Melattur,763,31,24.6,
18330,G.M.L.P.S. Melangadi,LPS,Kondotty,344,14,24.6,
19254,K. M. G. U. P. S. Thavanur,UPS,Edappal,737,30,24.6,
19664,G. L. P. S. Tanur,UPS,Tanur,417,17,24.5,
48330,G.L.P.S. Chemmaniyode,UPS,Melattur,245,10,24.5,
18332,G.M.L.P.S. Morayur,LPS,Kondotty,269,11,24.5,
18731,GLPS Perinthalmanna East,LPS,Perinthalmanna,171,7,24.4,
48210,GLPS Kavanur,LPS,Areacode,244,10,24.4,
18362,G.L.P.S. Vettathur,LPS,Kondotty,219,9,24.3,
48455,Eranhimangad GUPS,UPS,Nilambur,680,28,24.3,
48557,Maliyekkal GUPS,UPS,Wandoor,510,21,24.3,
48479,Konnamanna GUPS,UPS,Nilambur,97,4,24.2,
