Sl No,Educational District,Educational Sub-District (AEO),School Code,UDISE Code,School Name,Classes Approved,Students 1-4,Students 5-7,LP School Assistant posts filled (Sametham),UP School Assistant posts filled (Sametham),Sanctioned LPSA posts (to be filled by PIO),Sanctioned UPSA posts (to be filled by PIO),Vacant LPSA posts (to be filled by PIO),Vacant UPSA posts (to be filled by PIO)
110,Malappuram,Manjeri,18539,32050601401,G.M.L.P.S. Nellikuth North,1 - 4,227,0,7,0,,,,
111,Malappuram,Manjeri,18540,32050601301,G.M.L.P.S. Odompatta,1 - 4,155,0,7,0,,,,
112,Malappuram,Manjeri,18541,32050601213,G.L.P.S. Pandallur,1 - 4,290,0,7,0,,,,
113,Malappuram,Manjeri,18542,32050601214,G M L P S Pandallur,1 - 4,234,0,7,0,,,,
114,Malappuram,Manjeri,18548,32050600207,G.M.L.P.S. Pathappiriyam,1 - 4,232,0,6,0,,,,
115,Malappuram,Manjeri,18551,32050600508,G.L.P.S. Pulath,1 - 4,181,0,7,0,,,,
116,Malappuram,Manjeri,18553,32050600707,G.L.P.S. Ramankulam,1 - 4,166,0,7,0,,,,
117,Malappuram,Manjeri,18554,32050601302,G.L.P.S. Theyyampadikuth,1 - 4,93,0,4,0,,,,
118,Malappuram,Manjeri,18555,32050601402,G.L.P.S. Thottupoyil,1 - 4,154,0,7,0,,,,
119,Malappuram,Manjeri,18557,32050600307,G.L.P.S. Valarad,1 - 4,136,0,4,0,,,,
120,Malappuram,Manjeri,18562,32050600618,G.U.P.S. Vettekkode,1 - 7,147,171,8,4,,,,
121,Malappuram,Manjeri,18563,32050600902,G.L.P.S. Vettikkattiri,1 - 4,107,0,4,0,,,,
122,Malappuram,Manjeri,18565,32050601002,G.L.P.S. Cherankuth,1 - 5,69,22,4,0,,,,
123,Malappuram,Manjeri,18566,32050600206,K.M Musthafa Memorial G.L.P.S. Mundengara,1 - 5,80,28,4,0,,,,
124,Malappuram,Manjeri,18567,32050600304,G.M.L.P.S. Pandikkad,1 - 5,152,27,6,0,,,,
125,Malappuram,Manjeri,18568,32050600305,G.L.P.S. Pookkuth,1 - 5,167,43,8,0,,,,
126,Malappuram,Manjeri,18569,32050600101,G.U.P.S. Anakkayam,1 - 7,146,268,7,4,,,,
127,Malappuram,Manjeri,18572,32050601001,G.U.P.S. Elankur,1 - 7,249,201,9,7,,,,
128,Malappuram,Manjeri,18574,32050600701,G U P S Pullur,1 - 7,324,611,11,14,,,,
129,Malappuram,Manjeri,18575,32050600716,G.U.P.S. Manjeri,1 - 7,144,158,8,8,,,,
130,Malappuram,Manjeri,18576,32050600603,G.M.U.P.S. Melakkam,1 - 7,105,111,4,1,,,,
131,Malappuram,Manjeri,18578,32050600201,G.U.P.S. Pathappiriyam,1 - 7,345,370,15,12,,,,
132,Malappuram,Manjeri,18583,32050600702,G.U.P.S. Veembur,1 - 7,213,275,8,9,,,,
133,Malappuram,Manjeri,18586,,Anakkayam GP Govt. UP School Pandallur,5 -7,0,946,0,23,,,,
134,Malappuram,Manjeri,18588,,G.M.U.P.S. Vettikattiri,5 -7,0,198,0,5,,,,
135,Malappuram,Manjeri,18590,32050600505,GLPS ANAKKOTTUPURAM,1 - 4,174,0,6,0,,,,
136,Malappuram,Manjeri,18592,32050600102,GMLP School ANAKKAYAM,1 - 4,57,0,2,0,,,,
137,Malappuram,Mankada,18065,,G H S S Mankada,5 - 12,0,419,0,8,,,,
138,Malappuram,Mankada,18078,32051500510,G H S S Kadungapuram,1 - 12,131,646,6,11,,,,
139,Malappuram,Mankada,18150,32051500201,GHS CHERIYAM MANKADA,1 -10,247,231,10,7,,,,
140,Malappuram,Mankada,18607,32051500506,G L P S Chovana,1 - 4,113,0,4,0,,,,
141,Malappuram,Mankada,18612,32051500205,G L P S Karkidakam,1 - 4,130,0,3,0,,,,
142,Malappuram,Mankada,18616,32051500402,G L P S Kuruva,1 - 4,212,0,8,0,,,,
143,Malappuram,Mankada,18618,32051500202,G L P S Mankada,1 - 4,261,0,10,0,,,,
144,Malappuram,Mankada,18626,32051500511,G L P S Palakaparambil,1 - 4,99,0,1,0,,,,
145,Malappuram,Mankada,18628,32051500411,G L P S Pang,1 - 4,111,0,4,0,,,,
146,Malappuram,Mankada,18634,32051500404,G L P S Meenarkuzhi,1 - 4,173,0,5,0,,,,
147,Malappuram,Mankada,18636,32051500105,G L P S Pooppalam Valambur,1 - 4,47,0,3,0,,,,
148,Malappuram,Mankada,18637,32051500606,G L P S Pothukundu,1 - 4,106,0,3,0,,,,
149,Malappuram,Mankada,18640,32051500101,G L P S Puthanangadi,1 - 4,129,0,4,0,,,,
150,Malappuram,Mankada,18645,32051500607,G M L P S Vadakkangara,1 - 4,234,0,8,0,,,,
151,Malappuram,Mankada,18651,32051500306,G L P S Vallikkapatta,1 - 4,79,0,4,0,,,,
152,Malappuram,Mankada,18653,32051500213,G L P S Vellila,1 - 4,326,0,11,0,,,,
153,Malappuram,Mankada,18657,32051500302,G L P S Padinhattummuri,1 - 5,354,84,15,0,,,,
154,Malappuram,Mankada,18660,32051500303,G U P S Koottilangadi,1 - 7,230,259,8,4,,,,
155,Malappuram,Mankada,18664,32051500301,G U P S Mankada Pallippuram,1 - 7,317,330,11,7,,,,
156,Malappuram,Mankada,18666,32051500407,Govt. U P School Pang,1 - 7,279,614,13,16,,,,
157,Malappuram,Mankada,18674,,G U P S Panagangara,5 -7,0,340,0,10,,,,
158,Malappuram,Mankada,18677,,MPGUP SCHOOL VADAKKANGARA,5 -7,0,482,0,16,,,,
159,Malappuram,Perinthalmanna,18057,,G H S S Pulamanthole,5 - 12,0,353,0,7,,,,
160,Malappuram,Perinthalmanna,18058,,G H S S Perintalmanna,5 - 12,0,216,0,3,,,,
161,Malappuram,Perinthalmanna,18075,,G H S S Kunnakkavu,5 - 12,0,381,0,11,,,,
162,Malappuram,Perinthalmanna,18097,32050500215,G H S Aliparamba,1 - 12,95,114,5,6,,,,
163,Malappuram,Perinthalmanna,18705,32050500801,GLPS Arakkuparamba,1 - 4,158,0,7,0,,,,
164,Malappuram,Perinthalmanna,18715,32050500101,GMLPS Kakkooth,1 - 4,49,0,2,0,,,,
165,Malappuram,Perinthalmanna,18716,32050500401,GLPS Kunnakkavu,1 - 4,338,0,13,0,,,,
166,Malappuram,Perinthalmanna,18717,32050500802,GLPS Kappumugham,1 - 4,129,0,5,0,,,,
167,Malappuram,Perinthalmanna,18723,32050500803,GMLPS Muthiramanna,1 - 4,69,0,1,0,,,,
168,Malappuram,Perinthalmanna,18725,32050500804,GLPS Pallikunnu,1 - 4,170,0,7,0,,,,
169,Malappuram,Perinthalmanna,18728,32050500402,GLPS Parakkalmukku,1 - 4,75,0,3,0,,,,
170,Malappuram,Perinthalmanna,18730,32050500102,GMLPS Perinthalmanna Central,1 - 4,290,0,8,0,,,,
171,Malappuram,Perinthalmanna,18731,32050500103,GLPS Perinthalmanna East,1 - 4,171,0,5,0,,,,
172,Malappuram,Perinthalmanna,18732,32050500104,GLPS Perinthalmanna West,1 - 4,50,0,3,0,,,,
173,Malappuram,Perinthalmanna,18736,32050500805,GMLPS Puthur,1 - 4,231,0,9,0,,,,
174,Malappuram,Perinthalmanna,18737,32050500806,GMLPS Thazhekode,1 - 4,511,0,16,0,,,,
175,Malappuram,Perinthalmanna,18739,32050500201,GMLPS Thootha,1 - 4,153,0,4,0,,,,
176,Malappuram,Perinthalmanna,18758,32050500701,GMUPS Valapuram,1 - 7,208,379,10,9,,,,
177,Thirurangadi,Parappanangadi,19008,,G. H. S. S. Tirurangadi,5 - 12,0,422,0,13,,,,
178,Thirurangadi,Parappanangadi,19401,32051200101,G. L. P. S. Anappadi,1 - 4,178,0,8,0,,,,
179,Thirurangadi,Parappanangadi,19408,32051200102,G. F. L. P. S. Parappanangadi,1 - 4,154,0,8,0,,,,
180,Thirurangadi,Parappanangadi,19410,32051200108,G. M. U. P. S. Puthan Kadappuram,1 - 7,105,156,6,5,,,,
181,Thirurangadi,Parappanangadi,19412,32051200202,G. M. L. P. S. Thirurangadi,1 - 4,206,0,7,0,,,,
182,Thirurangadi,Parappanangadi,19414,32051200201,G. L. P. S. Thirurangadi,1 - 4,325,0,11,0,,,,
183,Thirurangadi,Parappanangadi,19417,32051200203,G. L. P. S. Venniyur,1 - 4,149,0,4,0,,,,
184,Thirurangadi,Parappanangadi,19429,32051200301,G. F. L. P. S. Kadalundi,1 - 5,58,31,3,0,,,,
185,Thirurangadi,Parappanangadi,19430,32051200520,G. L .P. S. Melodiparamba,1 - 4,71,0,2,0,,,,
186,Thirurangadi,Parappanangadi,19432,32051200104,G. M. L. P. S. Parappanangadi,1 - 4,153,0,7,0,,,,
187,Thirurangadi,Parappanangadi,19433,32051200103,G. L. P. S. Parappanangadi,1 - 5,203,42,9,0,,,,
188,Thirurangadi,Parappanangadi,19434,32051200105,G. M. L. P. S. Parappanangadi Town,1 - 5,262,48,8,1,,,,
189,Thirurangadi,Parappanangadi,19435,32051200316,G. L. P. S. Vallikunnu,1 - 5,64,14,4,0,,,,
190,Thirurangadi,Parappanangadi,19436,32051200501,G. M. L. P. S. Velimukku,1 - 5,121,34,7,0,,,,
191,Thirurangadi,Parappanangadi,19439,32051200302,G. U. P. S. Ariyallur,1 - 7,576,673,15,13,,,,
192,Thirurangadi,Parappanangadi,19441,32051200205,G. M. U. P. S. Kakkad,1 - 7,344,375,15,13,,,,
193,Thirurangadi,Parappanangadi,19443,32051200503,G. U. P. S. Moonniyur,1 - 7,193,237,8,5,,,,
194,Thirurangadi,Parappanangadi,19445,32051200106,GHS Neduva,1 -10,137,330,9,9,,,,
195,Thirurangadi,Parappanangadi,19447,32051200502,G. M. U. P. S. Parakkadavu,1 - 7,524,651,14,15,,,,
196,Thirurangadi,Parappanangadi,19449,32051200207,G. W. U. P. S. Trikkulam,1 - 7,194,170,6,5,,,,
197,Thirurangadi,Parappanangadi,19451,32051200206,G. H. S. Trikkulam,1 -10,281,432,10,11,,,,
198,Thirurangadi,Parappanangadi,19453,32051200204,G. M. U. P. S. Venniyur,1 - 7,832,1124,17,16,,,,
199,Thirurangadi,Tanur,19024,32051100118,G. H. S. S. Kattilangadi,1 - 12,278,394,13,13,,,,
200,Thirurangadi,Tanur,19026,,D. G. H. S. S. Tanur,5 - 12,0,892,0,24,,,,
201,Thirurangadi,Tanur,19067,,G. H. S. S. Cheriyamundam,5 - 12,0,114,0,3,,,,
202,Thirurangadi,Tanur,19119,32051100501,G. H. S. S. Ponmundam,1 - 12,217,365,10,12,,,,
203,Thirurangadi,Tanur,19602,32051100303,G. M. L. P. S. Cherumukku,1 - 4,375,0,13,0,,,,
204,Thirurangadi,Tanur,19605,32051100601,G. M. L. P. S. Cheruvannur,1 - 4,268,0,10,0,,,,
205,Thirurangadi,Tanur,19607,32051100102,G. M. L. P. S. Edakadappuram,1 - 4,153,0,7,0,,,,
206,Thirurangadi,Tanur,19609,32051100403,G. M. L. P. S. Iringavoor,1 - 4,69,0,3,0,,,,
207,Thirurangadi,Tanur,19611,32051101006,G. L. P. S. Klari West,1 - 4,86,0,3,0,,,,
208,Thirurangadi,Tanur,19613,32051100602,G. L. P. S. Kanmanam,1 - 4,103,0,3,0,,,,
209,Thirurangadi,Tanur,19616,32051100702,G. M. L. P. S. Korad,1 - 4,266,0,9,0,,,,
210,Thirurangadi,Tanur,19619,32051100703,G. M. L. P. S. Manalipuzha,1 - 4,68,0,3,0,,,,
