School Code,School Name,Educational Sub-District,Local Body,Block Name,Latitude,Longitude,Maps Link,Verified (Y/N),Corrected Latitude,Corrected Longitude,Notes
19830,GLPS Orakam Melmuri,Vengara,Uragam(P),Vengara,11.063756,76.031395,"http://maps.google.com/maps?q=11.063756,76.031395000000003",,,,
19824,GMLPS Orakam Kizhmuri,Vengara,Uragam(P),Vengara,11.050383,76.011311,"http://maps.google.com/maps?q=11.050383,76.011311000000006",,,,
19868,G H S Kuruka,Vengara,Vengara(P),Vengara,11.03964,75.96862,"http://maps.google.com/maps?q=11.03964,75.968620000000001",,,,
19841,GLPS Thattancherimala,Vengara,Vengara(P),Vengara,11.045565,75.945858,"http://maps.google.com/maps?q=11.045565,75.945858000000001",,,,
19014,GMVHSS Vengara Town,Vengara,Vengara(P),Vengara,11.049436,75.977941,"http://maps.google.com/maps?q=11.049436,75.977941000000001",,,,
19872,GUPS Valiyora,Vengara,Vengara(P),Vengara,11.04873,75.94971,"http://maps.google.com/maps?q=11.048730000000001,75.949709999999996",,,,
48510,Chokkad Girijan Colony GLPS,Wandoor,Chokkad(P),Kalikavu,11.235471,76.355498,"http://maps.google.com/maps?q=11.235471,76.355497999999997",,,,
48551,Chokkad GMUPS,Wandoor,Chokkad(P),Kalikavu,11.22275,76.33407,"http://maps.google.com/maps?q=11.22275,76.334069999999997",,,,
48512,Kallamoola GLPS,Wandoor,Chokkad(P),Kalikavu,11.21466,76.3377,"http://maps.google.com/maps?q=11.21466,76.337699999999998",,,,
48517,Kooripoyil GLPS,Wandoor,Chokkad(P),Kalikavu,11.199853,76.297753,"http://maps.google.com/maps?q=11.199852999999999,76.297753",,,,
48557,Maliyekkal GUPS,Wandoor,Chokkad(P),Kalikavu,11.194906,76.308246,"http://maps.google.com/maps?q=11.194906,76.308245999999997",,,,
48519,Mampattumoola GLPS,Wandoor,Chokkad(P),Kalikavu,11.221497,76.317112,"http://maps.google.com/maps?q=11.221496999999999,76.317111999999995",,,,
48522,Pedayenthal GLPS,Wandoor,Chokkad(P),Kalikavu,11.229359,76.340071,"http://maps.google.com/maps?q=11.229359000000001,76.340070999999995",,,,
48530,Pullengode GMLPS,Wandoor,Chokkad(P),Kalikavu,11.200585,76.337047,"http://maps.google.com/maps?q=11.200585,76.337046999999998",,,,
48539,Uthirampoyil GLPS,Wandoor,Chokkad(P),Kalikavu,11.187986,76.326545,"http://maps.google.com/maps?q=11.187986,76.326544999999996",,,,
48501,Adakkakundu GLPS,Wandoor,Kalikavu(P),Kalikavu,11.163786,76.347608,"http://maps.google.com/maps?q=11.163786,76.347607999999994",,,,
48504,Amapoyil GLPS,Wandoor,Kalikavu(P),Kalikavu,11.161726,76.308576,"http://maps.google.com/maps?q=11.161726,76.308576000000002",,,,
48549,G.H.S Anchachavadi,Wandoor,Kalikavu(P),Kalikavu,11.18653,76.29057,"http://maps.google.com/maps?q=11.186529999999999,76.290570000000002",,,,
48553,Kalikavu Bazar G M U P S,Wandoor,Kalikavu(P),Kalikavu,11.1686,76.32662,"http://maps.google.com/maps?q=11.1686,76.326620000000005",,,,
48523,Pallisseri GLPS,Wandoor,Kalikavu(P),Kalikavu,11.179967,76.303281,"http://maps.google.com/maps?q=11.179967,76.303280999999998",,,,
48528,Poongode GLPS,Wandoor,Kalikavu(P),Kalikavu,11.170319,76.278984,"http://maps.google.com/maps?q=11.170318999999999,76.278983999999994",,,,
48513,Karuvarakundu GLPS,Wandoor,Karuvarakundu(P),Kalikavu,11.112713,76.327713,"http://maps.google.com/maps?q=11.112712999999999,76.327713000000003",,,,
48515,Kizhakkethala GLPS,Wandoor,Karuvarakundu(P),Kalikavu,11.124123,76.341958,"http://maps.google.com/maps?q=11.124123000000001,76.341958000000005",,,,
48516,Koithakundu GLPS,Wandoor,Karuvarakundu(P),Kalikavu,11.134268,76.32921,"http://maps.google.com/maps?q=11.134268,76.329210000000003",,,,
48559,Pazhayakadakkal GUPS,Wandoor,Karuvarakundu(P),Kalikavu,11.142177,76.347892,"http://maps.google.com/maps?q=11.142177,76.347892000000002",,,,
48531,Pulvetta GLPS,Wandoor,Karuvarakundu(P),Kalikavu,11.113843,76.338093,"http://maps.google.com/maps?q=11.113842999999999,76.338093000000001",,,,
48533,Tharish GLPS,Wandoor,Karuvarakundu(P),Kalikavu,11.125284,76.349711,"http://maps.google.com/maps?q=11.125284000000001,76.349710999999999",,,,
48524,Pattanamkundu GLPS,Wandoor,Porur(P),Wandoor,11.157699,76.179054,"http://maps.google.com/maps?q=11.157698999999999,76.179053999999994",,,,
48529,V.M.D Memorial Govt L.P.S Porur,Wandoor,Porur(P),Wandoor,11.163351,76.249634,"http://maps.google.com/maps?q=11.163351,76.249634",,,,
48545,Chadangamkulam GLPS,Wandoor,Thiruvali(P),Wandoor,11.217016,76.221099,"http://maps.google.com/maps?q=11.217015999999999,76.221098999999995",,,,
48536,Thiruvali GLPS,Wandoor,Thiruvali(P),Wandoor,11.200862,76.170914,"http://maps.google.com/maps?q=11.200862000000001,76.170913999999996",,,,
48502,Akkarakulam GLPS,Wandoor,Thuvvur(P),Kalikavu,11.12351,76.292331,"http://maps.google.com/maps?q=11.12351,76.292331000000004",,,,
48558,G H S Neelanchery,Wandoor,Thuvvur(P),Kalikavu,11.145257,76.322666,"http://maps.google.com/maps?q=11.145257000000001,76.322665999999998",,,,
48520,Mampuzha GLPS,Wandoor,Thuvvur(P),Kalikavu,11.121202,76.312344,"http://maps.google.com/maps?q=11.121202,76.312343999999996",,,,
48521,Mundakkode GLPS,Wandoor,Thuvvur(P),Kalikavu,11.103337,76.269121,"http://maps.google.com/maps?q=11.103337,76.269120999999998",,,,
48538,Thuvvur GLPS,Wandoor,Thuvvur(P),Kalikavu,11.111585,76.284165,"http://maps.google.com/maps?q=11.111585,76.284165000000002",,,,
48049,G G V H S S Wandoor,Wandoor,Wandoor(P),Wandoor,11.19562,76.234259,"http://maps.google.com/maps?q=11.19562,76.234258999999994",,,,
48526,Pazhedam Panampoyil GLPS,Wandoor,Wandoor(P),Wandoor,11.21106,76.292804,"http://maps.google.com/maps?q=11.21106,76.292804000000004",,,,
48527,Pookkulam GLPS,Wandoor,Wandoor(P),Wandoor,11.18966,76.234066,"http://maps.google.com/maps?q=11.18966,76.234065999999999",,,,
48532,Santhinagar GLPS,Wandoor,Wandoor(P),Wandoor,11.208766,76.260674,"http://maps.google.com/maps?q=11.208766000000001,76.260673999999995",,,,
48540,Vaniyambalam CKAGLPS,Wandoor,Wandoor(P),Wandoor,11.188604,76.262534,"http://maps.google.com/maps?q=11.188604,76.262534000000002",,,,
