School Name,Educational District,Educational Sub-District,Block Name,Level Name,Distance to Nearest PWD Road (m),Nearest Road Type,Nearest Road Name/Ref,Latitude,Longitude
G.L.P.S. Manjeri,Malappuram,Manjeri,,1 - 4,259.0,MDR,Industrial estate road (MDR,11.116944,76.119939
GLPS Thattancherimala,Thirurangadi,Vengara,Vengara,1 - 4,271.5,State Highway,"malappuram,vengara road (SH72",11.045565,75.945858
GMLPS Cherukunnu,Thirurangadi,Vengara,Malappuram,1 - 4,308.8,State Highway,Tirur - Malappuram - Manjeri Road (SH71,11.012736,76.011487
GLPS Parapurathparamba,Malappuram,Kizhisseri,Areacode,1 - 4,311.2,MDR,Kavanakkallu-Areekode Road (MDR,11.236104,76.008255
GLPS Thencheri,Wandoor,Areacode,Areacode,1 - 4,315.2,MDR,Areacode-othayi-edavanna (MDR,11.23171,76.09292
G. L. P. S. Parappanangadi,Thirurangadi,Parappanangadi,,1 - 5,323.0,MDR,Chetippadi - Alungal Beach Road (MDR,11.06918,75.85364
GLPS Chemrakattur,Wandoor,Areacode,Areacode,1 - 4,326.7,State Highway,Parappanangadi - Areacode Road (SH65,11.20933,76.03961
GLPS Kodalikundu,Thirurangadi,Vengara,Vengara,1 - 4,332.0,State Highway,Malappurram - Parappnangadi Road (SH72,11.06051,76.0025
G L P S Chengara,Wandoor,Areacode,Areacode,1 - 4,333.3,MDR,Kavanoor - Vadakkummala - Karaparamba Road (MDR,11.17579,76.07964
G. M. L. P. S. Velimukku,Thirurangadi,Parappanangadi,Tirurangadi,1 - 5,341.4,MDR,Padikkal - Kondotty Road (MDR,11.099083,75.89457
G.M.L.P.S. Eranhikode,Malappuram,Manjeri,Areacode,1 - 4,360.7,State Highway,Kozhikode - Nilmbur - Gudallur Road (SH28,11.226293,76.157294
G.L.P.S. Paravoor,Malappuram,Kondotty,Kondotty,1 - 4,370.9,MDR,Anthiyoorkunnu Road (MDR,11.17921,75.9219
G L P S Mankada,Malappuram,Mankada,Mankada,1 - 4,399.2,MDR,Mankada-Makkaraparamba Road (MDR,11.01547,76.1772
G. U. P. S. Randathani,Tirur,Kuttippuram,Kuttippuram,1 - 7,401.6,MDR,Kurukathani-Randathani road (MDR,10.96144,76.00752
Eranhimangad GUPS,Wandoor,Nilambur,Nilambur,1 - 7,402.1,State Highway,Nilambur-Adayanpara Road (SH59,11.30661,76.21019
GLPS Parappur,Malappuram,Kizhisseri,Kondotty,1 - 4,405.0,MDR,Kadungallur - Vilayil - Chaliyappuram Road (MDR,11.208943,76.002117
Veettikuth GLPS,Wandoor,Nilambur,,1 - 4,425.9,State Highway,Kozhikode - Nilambur - Gudallur Road (SH28,11.27405,76.22877
G. M. L. P. S. Rayirimangalam,Thirurangadi,Tanur,,1 - 4,433.7,MDR,kanoli canal road (MDR,10.98098,75.87693
G. L. P. S. Thrikkanapuram,Tirur,Edappal,Ponnani,1 - 4,440.3,MDR,Edappal - Tavanoor Road (MDR,10.839666,75.988633
G.L.P.S. Elamaram,Malappuram,Kondotty,Kondotty,1 - 4,444.5,MDR,Valillappuzha - Elamaram Road (MDR,11.25007,75.95897
Govt. U P School Pang,Malappuram,Mankada,Mankada,1 - 7,446.0,MDR,Vettichira - Kadampuzha - Koottilangadi Road (MDR,10.97188,76.09979
GMLPS Koyappa,Thirurangadi,Vengara,Tirurangadi,1 - 5,470.1,MDR,Thenhipalam - Puthur Pallikkal - Airport Road (MDR,11.12188,75.89622
G. L. P. S. Anappadi,Thirurangadi,Parappanangadi,Tirurangadi,1 - 4,479.1,MDR,Chetippadi - Alungal Beach Road (MDR,11.07553,75.85647
G. M. L. P. S. Ponmundam South,Thirurangadi,Tanur,Tanur,1 - 4,492.2,State Highway,Tirur - Malappuram - Manjeri Road (SH71,10.94892,75.95095
G. H. S. S. Kadanchery,Tirur,Edappal,Ponnani,1 - 12,498.4,MDR,Edappal - Tavanoor Road (MDR,10.82585,75.98763
G. M. L. P. S. Vadakkummuri,Tirur,Edappal,Perumpadappa,1 - 4,512.0,MDR,Eramangalam-Changarakulam Road (MDR,10.737365,76.010027
GLPS Kannamangalam,Thirurangadi,Vengara,Vengara,1 - 4,527.3,MDR,Vengara - Kunnumpuram Road (MDR,11.07684,75.96965
GMLPS C.U. Campus,Thirurangadi,Vengara,Tirurangadi,1 - 4,565.5,MDR,Thenhipalam - Puthur Pallikkal - Airport Road (MDR,11.13099,75.89186
G. M. U. P. S. Veliyancode South,Tirur,Ponnani,Perumpadappa,1 - 7,567.7,MDR,Eramangalam-Vellancode Road (MDR,10.72548,75.95257
